['Post'],['Perfil'],['Tipo'],['Assunto'],['Positvo']
"['minuta', 'resolução', 'regras', 'vão', 'balizar', 'lançamento', 'efluentes', 'rios', 'Goiás', 'entrou', 'fase', 'final', 'tramitação', 'Conselho', 'Estadual', 'Recursos', 'Hídricos', '(', 'CERHi', ')', '.', 'documento', 'proposto', 'Semad', 'partir', 'levantamento', 'atos', 'normativos', 'outorga', 'lançamento', 'efluentes', 'outros', 'estados.A', 'Câmara', 'Técnica', 'Permanente', 'Assessoramento', 'CERHi', 'criada', 'resolução', 'publicada', 'Diário', 'Oficial', 'Estado', 'dia', '21', 'fevereiro', '2024', 'presidida', 'Semad', 'realiza', 'reuniões', 'públicas', 'formada', 'nove', 'membros', 'quais', 'representam', 'diferentes', 'instituições', 'setores', 'Estado', '.', 'colegiado', 'estabeleceu', 'dia', '05', 'março', '2024', 'prazo', 'final', 'apresentação', 'contribuições', 'minuta', '.', '``', 'dia', '28', 'fevereiro', 'primeira', 'reunião', 'CTPA', '.', 'semana', 'vem', 'quarta', 'quinta', 'feira', 'realizada', '2ª', 'reunião', 'CTPA', 'analisar', 'discutir', 'contribuições', 'recebidas', ""''"", 'afirma', 'Alan', 'Mosele', 'Tonin', 'gerente', 'Planos', 'Enquadramento', 'Cobrança', 'Apoio', 'Colegiados', 'Semad', '.', 'Outorga', 'efluentes', ""''"", 'Efluente', ""''"", 'nome', 'técnico', 'dá', 'esgoto', 'tratado', 'não', '.', '``', 'outorga', ""''"", 'ato', 'administrativo', 'órgão', 'ambiental', 'manifesta', 'respeito', 'disponibilidade', 'água', 'finalidade', 'qualquer', '.', 'Nesse', 'caso', 'diluição', 'efluentes', '.', 'análise', 'documento', 'vai', 'estabelecer', 'quantidade', 'efluentes', 'pode', 'despejado', 'cada', 'bacias', 'hidrográficas', 'Goiás', '.', 'Vale', 'ressaltar', 'documento', 'veda', 'lançamento', 'efluentes', 'não', 'tratados', 'qualquer', 'bacia', 'hidrográfica', 'Estado', '.', 'resolução', 'publicada', 'todos', 'atores', 'diluem', 'esgoto', 'tratado', 'corpos', 'hídricos', 'Estado', 'adequar', 'termos', 'resolução', '(', 'tanto', 'diz', 'respeito', 'quantidade', 'quanto', 'qualidade', 'rejeito', ')', '.O', 'plano', 'outorga', 'lançamento', 'efluentes', 'estudo', 'dialoga', 'recém-aprovado', 'plano', 'enquadramento', 'rios', 'Goiás', 'grosso', 'modo', 'estabeleceu', 'cenário', 'desejamos', 'termos', 'qualidade', 'águas', 'restrições', 'precisarão', 'seguidas', 'metas', 'alcançadas', '.', '@', 'andrea_vulcanis', '@', 'jorgewerneck', '@', 'abel__alves', '@', 'bento_jrocha', '@', 'robsondisarz']",['semadgoias'],['politica'],['fluvial'],['sim']
"['Semad', 'lança', 'dia', '07', 'março', '2024', 'plataforma', 'vai', 'permitir', 'cidadãos', 'Goiás', 'reportar', 'episódios', 'desmatamento', 'poluição', 'queimadas', 'emergências', 'ambientais', 'atropelamentos', 'animais', 'silvestres', '.', 'Disponível', 'tanto', 'versão', 'web', 'quanto', 'download', 'gratuito', 'dispositivos', 'Android', 'iOS', 'plataforma', 'Inã', 'facilitará', 'processo', 'denúncia', 'consulta', 'gerenciamento', 'dessas', 'ocorrências', '.', 'uso', 'Inã', 'formalizar', 'denúncias', 'poderá', 'feito', 'identificação', 'forma', 'anônima', '.', 'usuário', 'deverá', 'indicar', 'localização', 'precisa', 'anexar', 'fotos', 'vídeos', 'áudios', 'ocorrência', 'fornecer', 'informações', 'sobre', 'horário', 'possíveis', 'autores', 'ocorrido', '.', '``', 'Semad', 'recebe', 'grande', 'quantidade', 'denúncias', 'pouca', 'consistência', 'dificulta', 'trabalho', 'equipes', 'fiscalização', '.', 'plataforma', 'construída', 'modo', 'estimular', 'população', 'entregar', 'evidências', 'facilitar', 'trabalho', 'fiscais', ""''"", 'diz', 'subsecretário', 'Licenciamento', 'Controle', 'Fiscalização', 'Semad', 'Robson', 'Disarz', '.', 'plataforma', 'desenvolvida', 'recursos', 'compensação', 'ambiental', 'grupo', 'YouX', 'operacionalizará', 'todo', 'processo', 'sanção', 'administrativa', 'ambiental', 'desde', 'lavratura', 'auto', 'infração', 'agendamento', 'realização', 'audiência', 'autocomposição', 'protocolo', 'julgamento', 'defesa.Alertas', ':', 'alertas', 'poderão', 'formalizados', 'tanto', 'versão', 'web', 'quanto', 'aplicativo', 'celular', 'plataforma', 'Inã', '.', 'primeiro', 'passo', 'usuário', 'decidir', 'quer', 'identificar', 'permanecer', 'anônimo', 'sendo', 'apenas', 'identificarem', 'poderão', 'acompanhar', 'andamento', 'alertas', '.', 'segundo', 'passo', 'selecionar', 'tipo', 'categoria', 'alerta', 'melhor', 'encaixar', 'ocorrido', ':', 'denúncia', 'fogo', 'emergência', 'ambiental', 'atropelamento', 'animal', 'silvestre', '.', 'terceiro', 'passo', 'informar', 'Semad', 'localização', 'fato', '.', 'Caso', 'denunciante', 'não', 'local', 'incidente', 'deve', 'buscar', 'endereço', 'coordenada', 'geográfica', 'selecionar', 'ponto', 'mapa', 'usando', 'marcador', '.', 'quarto', '(', 'último', ')', 'passo', 'informar', 'data', 'hora', 'incidente', 'além', 'descrição', 'ocorrido', 'evidências', '(', 'fotos', 'vídeos', 'áudios', ')', '.', '@', 'youxgroup', '@', 'andrea_vulcanis', '@', 'robsondisarz', '@', 'bento_jrocha', '@', 'jorgewerneck']",['semadgoias'],['tecnologia'],['meio-ambiente'],['sim']
"['Representantes', 'Semad', 'apresentaram', 'Saneago', 'última', 'quarta-feira', '(', '28/02', ')', 'dados', 'hidrológicos', 'climáticos', 'úteis', 'subsidiar', 'planejamento', 'próximo', 'período', 'seco', 'Goiás', 'minimizar', 'risco', 'desabastecimento', 'algumas', 'regiões', 'Estado', '.', '``', 'início', 'período', 'chuvoso', 'não', 'bom', 'boas', 'chuvas', 'fevereiro', 'março', '(', 'previsão', ')', 'podem', 'não', 'suficientes', 'recuperar', 'vazões', ""''"", 'afirma', 'Jorge', 'Werneck', 'subsecretário', 'Biodiversidade', 'Unidades', 'Conservação', 'Segurança', 'Hídrica', 'Semad.Dados', 'sugerem', 'transição', 'período', 'El', 'Niño', 'entrada', 'La', 'Niña', 'risco', 'leve', 'extensão', 'período', 'seco', 'Estado', '.', '``', 'Semad', 'órgão', 'gestor', 'recursos', 'hídricos', 'Estado', 'vem', 'conversando', 'alertando', 'dados', 'previsões', 'feitas', 'base', 'melhores', 'técnicas', 'minimizar', 'tais', 'riscos', 'climáticos', 'hidrológicos', 'buscando', 'evitar', 'maiores', 'prejuízos', 'povo', 'goiano', ""''"", 'completa', 'Jorge', '.', 'Jorge', 'representou', 'Semad', 'acompanhado', 'gerente', 'Centro', 'Informações', 'Metereológicas', 'Hidrológicas', 'secretaria', 'André', 'Amorim', '.', '@', 'andrea_vulcanis', '@', 'jorgewerneck', '@', 'andre.amorim.goias', '@', 'abel__alves', '@', 'bento_jrocha', '@', 'robsondisarz', '@', 'saneago', '@', 'ricardosoavinski']",['semadgoias'],['politica'],['pluvial'],['sim']
"['ICMS', 'ECOLÓGICO', '|', 'Núbia', 'Maia', 'gerente', 'Apoio', 'Municípios', 'Credenciamento', 'Licenciamento', 'Ambiental', 'Semad', 'aviso', 'importante', 'prefeituras', '.', 'prazo', 'formalizar', 'envio', 'documentação', 'alusiva', 'ICMS', 'Ecológico', 'vence', 'dia', '15', 'março', '2024', '.', 'ICMS', 'Ecológico', 'mecanismo', 'tributário', 'possibilita', 'municípios', 'acesso', 'parcelas', 'maiores', 'recursos', 'financeiros', 'arrecadados', 'Estados', 'meio', 'Imposto', 'sobre', 'Circulação', 'Mercadorias', 'Serviços', '(', 'ICMS', ')', '.', 'ocorre', 'virtude', 'atendimento', 'determinados', 'critérios', 'ambientais', 'estabelecidos', 'leis', 'estaduais', 'proporcionando', 'benefícios', 'adicionais', 'municípios', 'comparação', 'direitos', 'estabelecidos', '.', 'caso', 'dúvidas', 'contato', 'gerência', 'Núbia', ':', '☎️', '(', '62', ')', '99944-7392', '@', 'leonardoserpa_', '@', 'nubiapatriciaf.maia', '@', 'carlaasilveira', '@', 'bento_jrocha', '@', 'jorgewerneck', '@', 'robsondisarz', '@', 'andrea_vulcanis', '@', 'fgm_go', '@', 'agmgoias', '@', 'germanoaoliveira', '@', 'priscila.ig', '@', 'haroldonaves', '@', 'carlaodafox']",['semadgoias'],['politica'],['financeiro'],['sim']
"['FIM', 'LIXÕES', '|', 'Sempre', 'mãos', 'dadas', 'municípios', 'Semad', 'participou', 'encontro', 'organizado', 'propósito', 'discutir', 'fim', 'lixões', 'Goiás', '.', 'evento', '``', 'estratégias', 'municipais', 'gestão', 'resíduos', 'sólidos', ""''"", 'promovido', 'Federação', 'Goiana', 'Municípios', 'aconteceu', 'auditório', 'Ordem', 'Advogados', 'Brasil', '(', 'OAB', ')', '.', 'superintendente', 'Desenvolvimento', 'Sustentável', 'Resíduos', 'Sólidos', 'Semad', 'Kaoara', 'Batista', 'tirou', 'dúvidas', 'prefeitos', 'respeito', 'decreto', '10.367/2023', 'estabelece', 'etapas', 'serem', 'cumpridas', 'processo', 'encerramento', 'lixões', '.', 'discussão', 'continua', 'participação', 'todos', 'imprescindível', '!', '@', 'kkaoara', '@', 'eufabianamarianunes', '@', 'fabiosgois', '@', 'vinicius.mury', '@', 'bento_jrocha', '@', 'mpdegoias', '@', 'andrea_vulcanis', '@', 'jorgewerneck', '@', 'fernandaandreozi', '@', 'robsondisarz', '@', 'natalialino', '@', 'narachavesx', '@', 'fgm_go', '@', 'haroldonaves', '@', 'vanuzavaladares', '@', 'prefeituraporangatu', '@', 'mpdegoias']",['semadgoias'],['campanha'],['poluição'],['sim']
"['PIRACEMA', '|', 'piracema', 'termina', 'nesta', 'quarta-feira', '(', '28/02', ')', 'Goiás', '.', 'Algumas', 'restrições', 'atvidade', 'pesca', 'deixam', 'valer', 'outras', 'regras', 'continuam', '.', 'obrigatoriedade', 'licença', 'assim', 'proibição', 'transporte', 'pescado', '.', 'Assista', 'vídeo', 'leia', 'cartilha', 'produzida', 'Semad', 'orientar', 'melhor', '.', 'LINK', 'CARTILHA', 'https', ':', '//goias.gov.br/meioambiente/wp-content/uploads/sites/33/2022/02/Cartilha_pesca_2023-9d9.pdf', '@', 'rodrigopbastos', '@', 'robsondisarz', '@', 'murilomapas', '@', 'andrea_vulcanis', '@', 'marcelo_m_sales']",['semadgoias'],['informativo'],['fauna'],['sim']
"['PCH', 'VERDE', '2', '|', 'Semad', 'promove', 'dia', '26', 'março', 'consulta', 'pública', 'debater', 'Plano', 'Ambiental', 'Conservação', 'Uso', 'Entorno', 'Reservatório', 'Artificial', '(', 'Pacuera', ')', 'Pequena', 'Central', 'Hidrelétrica', '(', 'PCH', ')', 'Verde', '2', 'Rio', 'Verde', '.', 'consulta', 'acontecerá', '18', '22', 'horas', 'prefeitura', 'Rio', 'Verde', '.', 'prédio', 'fica', 'localizado', 'avenida', 'Presidente', 'Vargas', 'n°', '3215', '.', 'Vila', 'Maria', '.', 'PCH', 'Verde', '2', 'encontra-se', 'instalada', 'rio', 'Verde', 'zona', 'rural', 'Rio', 'Verde-GO', '.', 'consulta', 'pública', 'visa', 'debater', 'diretrizes', 'objetivo', 'disciplinar', 'conservação', 'recuperação', 'uso', 'ocupação', 'entorno', 'reservatório', 'artificial', 'bem', 'estabelecimento', 'parâmetros', 'definição', 'limites', 'Áreas', 'Preservação', 'Permanente', '(', 'APP', ')', 'reservatório', 'artificial', '.', 'Pacuera', 'bem', 'proposta', 'Área', 'Preservação', 'Permanente', '(', 'APP', ')', 'PCH', 'Verde', '2', 'podem', 'acessados', 'meio', 'seguinte', 'link', ':', 'https', ':', '//www.brasal.com.br/pch-verde-2-pacuera', 'reunião', 'pública', 'presencial', 'transmitida', 'vivo', '.', 'interessados', 'poderão', 'participar', 'evento', 'duas', 'formas', ':', '1', '–', 'Presencial', 'Prefeitura', 'Municipal', 'Rio', 'Verde', 'Av', '.', 'Presidente', 'Vargas', 'n°', '3215', '.', 'Vila', 'Maria', '.', '2', '–', 'Virtual', 'consulta', 'transmitida', 'via', 'internet', 'canal', 'https', ':', '//www.youtube.com/', '@', 'pchverde2', '.', 'participar', 'acessar', 'Área', 'Transmissão', 'evento', 'fazer', 'perguntas', 'escritas', 'orais', 'consulta', 'enviar', 'perguntas', 'escritas', 'forma', 'antecipada', 'interessados', 'deverão', 'consultar', 'site', 'https', ':', '//www.brasal.com.br/pch-verde-2-pacuera', '.', 'inscrição', 'perguntas', 'orais', 'poderá', 'realizada', 'dia', 'evento', '.', 'cadastrar', 'participante', 'receberá', 'link', 'acesso', 'aplicativo', 'Zoom', 'enviado', 'email', 'realizada', 'inscrição', '.', '@', 'brunno.t.o', '@', 'mbvalerius', '@', 'zilma.alves.351', '@', 'brasal', '@', 'robsondisarz', '@', 'jorgewerneck', '@', 'bento_jrocha', '@', 'andrea_vulcanis']",['semadgoias'],['politica'],['fluvial'],['sim']
"['PIRACEMA', '|', 'período', 'defeso', 'termina', 'Goiás', 'nesta', 'quarta-feira', '(', '28/02', ')', '.', 'momento', 'compreende', 'piracema', 'período', 'reprodutivo', 'peixes', 'pesca', 'proibida', 'território', 'goiano', '.', 'Agora', 'fim', 'piracema', 'modalidades', 'pesca', 'amadora', 'esportiva', 'subaquática', 'voltam', 'permitidas', 'Goiás', '.', 'entanto', 'Estado', 'adota', 'política', 'cota', 'zero', 'impede', 'transporte', 'pescado', '.', 'piracema', 'fenômeno', 'ocorre', 'sazonalmente', 'diversas', 'espécies', 'peixes', 'todo', 'mundo', '.', 'processo', 'algumas', 'espécies', 'nadam', 'rio', 'acima', 'busca', 'locais', 'adequados', 'reprodução', 'alimentação', '.', 'fenômeno', 'interrompido', 'alguma', 'maneira', 'reprodução', 'pode', 'prejudicada', '.', 'pescar', 'Goiás', 'preciso', 'licenciado', '.', 'licença', 'obtida', 'on-line', 'meio', 'site', 'goias.gov.br/meioambiente', '.', 'pescadores', 'deverão', 'andar', 'licenças', 'casos', 'abordagem', 'fiscalização', 'ambiental', 'apresentarão', 'respectivos', 'documentos', 'identidade', 'autorização', 'prática', 'pesca', '.', 'obtenção', 'licença', 'paga', 'isenção', 'pagamento', 'homens', '65', 'anos', 'mulheres', '60', 'anos', 'indígenas', 'quilombolas', 'menores', '18', 'anos', '.', 'Durante', 'pesca', 'permitido', 'uso', 'linhas', 'mão', 'caniço', 'simples', 'caniço', 'molinete', 'carretilha', 'espingarda', 'mergulho', '.', 'atividade', 'permitido', 'ainda', 'uso', 'equipamentos', 'suporte', 'pescador', 'contenção', 'peixe', 'bicheiro', 'puçá', 'alicates', 'similares', 'desde', 'não', 'utilizados', 'pesca', 'si', '.', 'uso', 'aparelhos', 'respiração', 'artificial', 'proibido', 'durante', 'pesca', 'subaquática', '.', 'Além', 'disso', 'qualquer', 'modalidades', 'pesca', 'permanece', 'vedado', 'uso', 'artifícios', 'retenção', 'cardumes', 'tais', 'cevas', 'rações', 'quireras', 'outros', 'meios', 'possam', 'interromper', 'ciclo', 'natural', 'subida', 'peixes', '.', '@', 'andrea_vulcanis', '@', 'robsondisarz', '@', 'marcelo_m_sales', '@', 'murilomapas', '@', 'rodrigopbastos', '@', 'fernandaandreozi', '@', 'rafanunesb', '@', 'jose_augustosg', '@', 'parque_mata_atlantica', '@', 'm.moura76', '@', '@', 'mauricio_v_t', '@', '@', 'tiagom.aquino', '@', 'santos_rubia27', '@', 'ricardomesquitaa', '@', 'adriiano.csantos', '@', 'lenniojaders', '@', 'desireeomoreira', '@', 'murilomapas']",['semadgoias'],['informativo'],['fauna'],['sim']
"['secretária', 'Andréa', 'Vulcanis', 'superintendente', 'Desenvolvimento', 'Sustentável', 'Resíduos', 'Sólidos', 'Semad', 'Kaoara', 'Batista', 'receberam', 'visitantes', 'especiais', 'secretaria', 'tratar', 'assunto', 'foco', 'atualmente', ':', 'coleta', 'seletiva', 'reciclagem', 'irão', 'contribuir', 'fim', 'lixões', '.', 'galpões', 'triagem', '?', 'reunião', 'Secretaria', 'Indústria', 'Comércio', '(', 'SIC', ')', 'apresentou', 'projetos', 'galpões', 'triagem', 'resíduos', 'funcionam', 'seguinte', 'forma', ':', 'instalação', 'recebe', 'materiais', 'descartados', 'organiza', 'processa', 'acordo', 'composição', 'tipo', 'posteriormente', 'destina', 'reciclagem', 'reutilização', 'disposição', 'final', 'adequada', '.', 'galpões', 'triagem', 'desempenham', 'papel', 'crucial', 'promoção', 'recuperação', 'recursos', 'valiosos', 'contribuição', 'sustentabilidade', 'ambiental', 'reduzindo', 'desperdício', 'minimizando', 'impacto', 'negativo', 'meio', 'ambiente', '.', 'presidente', 'Coop-Recicla', 'Rio', 'Verde', 'Divino', 'Teles', 'Guimarães', 'não', 'escondeu', 'desejo', 'galpão', 'triagem', 'construído', 'cidade', 'ressaltou', 'além', 'importância', 'ambiental', 'projetos', 'ajudam', 'catadores', 'sobrevivem', 'desse', 'tipo', 'trabalho', '.', 'presentes', 'encontro', 'promotor', 'Ministério', 'Público', 'Goiás', '(', 'MPGO', ')', 'Juliano', 'Araújo', 'Cristina', 'Maria', 'Costa', 'Prado', 'Marcos', 'Sussumo', 'Andrade', 'SIC', 'além', 'presidente', 'Organização', 'Cooperativas', 'Brasileiras', '(', 'OCB', ')', 'Goiás', 'Luís', 'Alberto', 'Pereira', '.', '@', 'goias_cooperativo', '@', 'coop_recicla', '@', 'kkaoara', '@', 'eufabianamarianunes', '@', 'fabiosgois', '@', 'vinicius.mury', '@', 'bento_jrocha', '@', 'andrea_vulcanis', '@', 'prefrioverde', '@', 'divinotelesguimaraes', '@', 'msasussumo', '@', 'luisalbertopereira9']",['semadgoias'],['politica'],['reciclagem'],['sim']
"['Preparados', 'recente', 'aquisição', 'peso', 'Semad', '?', 'RS5', 'equipamento', 'ADCP', 'usado', 'monitorar', 'vazão', 'mapear', 'estrutura', 'exata', 'corpos', 'hídricos', '.', 'apresenta', 'sistema', 'rádio', 'Bluetooth', 'fio', 'baixa', 'potência', '(', 'BLE5', ')', 'integrado', 'moderno', 'alta', 'velocidade', 'alcance', '100', 'metros', 'transferência', 'dados', 'cada', 'cinco', 'minutos', 'evitar', 'perda', 'dados', 'trabalho', 'desnecessário', '.', 'última', 'semana', 'recebemos', 'dois', 'equipamentos', 'novos', 'modernos', 'leves', 'flexíveis', 'torna', 'adequados', 'acessar', 'locais', 'difícil', 'alcance', 'medindo', 'rios', 'tanto', 'rasos', 'quanto', 'profundos', '.', 'Realizamos', 'capacitação', 'alguns', 'técnicos', 'Semad', 'testamos', 'novo', 'queridinho', '...', 'Venha', 'conferir', '!', '@', 'andrea_vulcanis', '@', 'jorgewerneck', '@', 'andre.amorim.goias', '@', 'abel__alves', '@', 'bento_jrocha', '@', 'robsondisarz']",['semadgoias'],['tecnologia'],['fluvial'],['sim']
